"","County","Weekend_day","Pollutant","Sample","Latitude","Longitude"
"1","Alameda","weekday","CO",0.012592754102281,37.743065,-122.169935
"2","Alameda","weekday","NO2",0.118623928524331,37.687526,-121.784217
"3","Alameda","weekday","Ozone",0.346221363458998,37.687526,-121.784217
"4","Alameda","weekday","SO2",0.0122657290895633,37.814781,-122.282347
"5","Alameda","weekend","CO",0.0121344619272645,37.743065,-122.169935
"6","Alameda","weekend","NO2",0.0856353325173399,37.687526,-121.784217
"7","Alameda","weekend","Ozone",0.381253483187813,37.687526,-121.784217
"8","Alameda","weekend","SO2",0.00933456505003849,37.814781,-122.282347
"9","Butte","weekday","CO",0.00702543518918141,39.761538,-121.84162
"10","Butte","weekday","NO2",0.0632744310575636,39.761538,-121.84162
"11","Butte","weekday","Ozone",0.479334769083513,39.714041,-121.618836
"12","Butte","weekend","CO",0.00658344803037494,39.761538,-121.84162
"13","Butte","weekend","NO2",0.0509855072463768,39.761538,-121.84162
"14","Butte","weekend","Ozone",0.476507208387942,39.714041,-121.618836
"15","Contra Costa","weekday","CO",0.0093283300860334,37.936013,-122.026154
"16","Contra Costa","weekday","NO2",0.0662275432652688,37.936013,-122.026154
"17","Contra Costa","weekday","Ozone",0.351358457493427,37.936013,-122.026154
"18","Contra Costa","weekday","SO2",0.016032183908046,37.936013,-122.026154
"19","Contra Costa","weekend","CO",0.00906461404170056,37.936013,-122.026154
"20","Contra Costa","weekend","NO2",0.0499184608337151,37.936013,-122.026154
"21","Contra Costa","weekend","Ozone",0.382931671358599,37.936013,-122.026154
"22","Contra Costa","weekend","SO2",0.0154279870624049,37.936013,-122.026154
"23","Fresno","weekday","CO",0.0085562860993454,36.785322,-119.774174
"24","Fresno","weekday","NO2",0.112544688656076,36.705506,-119.741966
"25","Fresno","weekday","Ozone",0.459026810645877,36.705506,-119.741966
"26","Fresno","weekday","SO2",0.00617192865846904,36.785322,-119.774174
"27","Fresno","weekend","CO",0.0080596043470543,36.785322,-119.774174
"28","Fresno","weekend","NO2",0.0857558788832088,36.705506,-119.741966
"29","Fresno","weekend","Ozone",0.476577810922839,36.705506,-119.741966
"30","Fresno","weekend","SO2",0.00610036719706242,36.785322,-119.774174
"31","Humboldt","weekday","CO",0.006551804196146,40.776944,-124.1775
"32","Humboldt","weekday","NO2",0.0191080881674813,40.776944,-124.1775
"33","Humboldt","weekday","Ozone",0.348771774757854,40.776944,-124.1775
"34","Humboldt","weekday","SO2",0.00346709709461137,40.776944,-124.1775
"35","Humboldt","weekend","CO",0.00648675850789457,40.776944,-124.1775
"36","Humboldt","weekend","NO2",0.0158537569339385,40.776944,-124.1775
"37","Humboldt","weekend","Ozone",0.364950240770465,40.776944,-124.1775
"38","Humboldt","weekend","SO2",0.00343377777777778,40.776944,-124.1775
"39","Imperial","weekday","CO",0.00728028140703518,32.676186,-115.484144
"40","Imperial","weekday","NO2",0.0876195257784153,32.676186,-115.484144
"41","Imperial","weekday","Ozone",0.43138386408969,32.676186,-115.484144
"42","Imperial","weekday","SO2",0.00952029107192835,32.676186,-115.484144
"43","Imperial","weekend","CO",0.00645511016346837,32.676186,-115.484144
"44","Imperial","weekend","NO2",0.070473366625052,32.676186,-115.484144
"45","Imperial","weekend","Ozone",0.435632990467063,32.676186,-115.484144
"46","Imperial","weekend","SO2",0.0090546265328874,32.676186,-115.484144
"47","Inyo","weekday","CO",0.00332627390129142,37.360684,-118.330783
"48","Inyo","weekday","Ozone",0.558017106524701,37.360684,-118.330783
"49","Inyo","weekday","SO2",8.32480382122143e-05,37.360684,-118.330783
"50","Inyo","weekend","CO",0.00342938399952202,37.360684,-118.330783
"51","Inyo","weekend","Ozone",0.569545053003534,37.360684,-118.330783
"52","Inyo","weekend","SO2",8.81542699724518e-05,37.360684,-118.330783
"53","Kern","weekday","CO",0.00615500967483128,35.331302,-119.000974
"54","Kern","weekday","NO2",0.102968802588997,35.346094,-118.852037
"55","Kern","weekday","Ozone",0.517787102955623,35.346094,-118.852037
"56","Kern","weekend","CO",0.00613106213597916,35.331302,-119.000974
"57","Kern","weekend","NO2",0.0843985849056604,35.346094,-118.852037
